1071343,16,464,ATL,IAD
1071905,223,501,ATL,BWI
1070840,10,501,ATL,BWI
1070956,27,505,ATL,FLL
1071100,127,513,ATL,MDW
1070935,39,599,ATL,IAH
1072040,44,788,ATL,MSP
1071258,10,581,ATL,MKE
1071515,30,561,ATL,EYW
1071350,47,648,ATL,EWR
1072140,76,208,ATL,ECP
1070812,26,1859,ATL,SFO
1072025,130,197,ATL,CLT
1071610,87,1691,ATL,LAX
1071620,25,279,ATL,SDF
1071242,62,706,ATL,AUS
1070955,56,351,ATL,MCO
1070845,-6,517,ATL,MIA
1071033,60,602,ATL,MCI
1071914,17,131,ATL,HSV
1071411,120,421,ATL,STL
1071245,84,662,ATL,LGA
1071100,26,353,ATL,TPA
1071857,13,579,ATL,PHL
1072140,23,449,ATL,ORF
1071400,38,822,ATL,BOS
1071855,37,760,ATL,SAT
1071110,55,636,ATL,DFW
1071925,55,527,ATL,ORD
1071529,7,117,ATL,BHM
1071900,147,1029,ATL,COS
1070750,21,351,ATL,MCO
1070835,24,513,ATL,MDW
1070950,35,501,ATL,BWI
1070950,15,760,ATL,SAT
1071336,22,197,ATL,CLT
1071054,12,1114,ATL,ELP
1071420,0,475,ATL,DCA
1071220,86,449,ATL,ORF
1071645,123,648,ATL,EWR
1071455,-4,1518,ATL,LAS
1070910,56,651,ATL,ROC
1072140,69,236,ATL,PNS
1071055,-1,351,ATL,MCO
1071455,134,353,ATL,TPA
1071105,55,517,ATL,MIA
1071627,52,186,ATL,BNA
1071920,48,194,ATL,TLH
1071031,107,288,ATL,MEM
1070828,-1,527,ATL,ORD
1071457,83,279,ATL,SDF
1071225,75,353,ATL,TPA
1071550,48,384,ATL,MLB
1070811,9,1518,ATL,LAS
1071356,40,449,ATL,ORF
1071339,82,133,ATL,GSP
1071507,61,636,ATL,DFW
1070812,-3,236,ATL,PNS
1071315,-1,384,ATL,MLB
1070907,16,785,ATL,PVD
1071705,2,505,ATL,FLL
1071358,52,579,ATL,PHL
1071320,167,475,ATL,DCA
1071100,92,369,ATL,MSY
1071945,65,143,ATL,AVL
1070905,-1,197,ATL,CLT
1071855,22,1691,ATL,LAX
1071612,59,464,ATL,IAD
1072027,122,1859,ATL,SFO
1071735,32,1042,ATL,DEN
1071100,108,1644,ATL,SAN
1071155,0,351,ATL,MCO
1071041,29,279,ATL,SDF
1071604,68,386,ATL,SRQ
1072153,145,602,ATL,MCI
1071600,55,375,ATL,IND
1071225,19,822,ATL,BOS
1071855,153,482,ATL,CLE
1071918,55,1114,ATL,ELP
1071343,95,234,ATL,JAX
1070906,212,386,ATL,SRQ
1071610,29,605,ATL,HOU
1071615,3,822,ATL,BOS
1072200,130,353,ATL,TPA
1072025,40,376,ATL,DAY
1070812,109,421,ATL,STL
1070857,44,636,ATL,DFW
1071620,24,208,ATL,ECP
1071355,99,788,ATL,MSP
1071212,93,501,ATL,BWI
1071900,0,505,ATL,FLL
1072028,49,1896,ATL,SEA
1071639,31,376,ATL,DAY
1071220,87,475,ATL,DCA
1071855,147,513,ATL,MDW
1070825,50,660,ATL,JFK
1070737,61,309,ATL,RDU
1072145,42,1691,ATL,LAX
1071740,223,388,ATL,CMH
1071255,6,351,ATL,MCO
1071344,23,353,ATL,TPA
1071229,56,517,ATL,MIA
1071751,65,353,ATL,TPA
1070817,33,234,ATL,JAX
1071645,-1,662,ATL,LGA
1070920,61,318,ATL,DAB
1071700,109,579,ATL,PHL
1071342,0,208,ATL,ECP
1071207,2,418,ATL,RIC
1071735,100,602,ATL,MCI
1070906,39,208,ATL,ECP
1071820,57,475,ATL,DCA
1071205,0,660,ATL,JFK
1071910,104,133,ATL,GSP
1071915,180,599,ATL,IAH
1070725,31,197,ATL,CLT
1071336,80,279,ATL,SDF
1071106,-2,217,ATL,VPS
1071520,8,473,ATL,PBI
1071915,92,309,ATL,RDU
1071958,233,388,ATL,CMH
1072036,58,513,ATL,MDW
1072145,111,386,ATL,SRQ
1072045,566,133,ATL,GSP
1072035,178,556,ATL,GRR
1072201,74,217,ATL,VPS
1072045,131,166,ATL,CAE
1072140,99,648,ATL,EWR
